check_in_date,property_id,property_name,category,city,room_class,no_guests,booking_platform,booking_status,ratings_given,revenue_generated,revenue_realized,Profitability_Index,successful_bookings,capacity,mmm yy,week no,day_type,length_of_stay,advance_booking
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,1,journey,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,5,20
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,others,Cancelled,5.0,11050,4420,0.4,25,30,May 22,W 19,weekend,1,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,1,logtrip,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,6,21
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,tripster,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,2,0
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,3,journey,Cancelled,5.0,12155,4862,0.4,25,30,May 22,W 19,weekend,5,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,4,direct offline,Cancelled,5.0,13260,5304,0.4,25,30,May 22,W 19,weekend,2,6
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,others,No Show,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,2,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,direct offline,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,5,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,makeyourtrip,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,1,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,4,others,Checked Out,4.0,13260,13260,1.0,25,30,May 22,W 19,weekend,2,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,makeyourtrip,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,5,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,1,logtrip,Cancelled,5.0,11050,4420,0.4,25,30,May 22,W 19,weekend,5,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,others,Cancelled,5.0,11050,4420,0.4,25,30,May 22,W 19,weekend,3,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Standard,2,logtrip,Checked Out,5.0,11050,11050,1.0,25,30,May 22,W 19,weekend,3,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,3,direct offline,Checked Out,5.0,16830,16830,1.0,35,41,May 22,W 19,weekend,1,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,direct online,Checked Out,3.0,15300,15300,1.0,35,41,May 22,W 19,weekend,5,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,3,makeyourtrip,Checked Out,5.0,16830,16830,1.0,35,41,May 22,W 19,weekend,1,6
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,1,journey,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,1,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,others,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,3,0
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,others,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,6,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,4,others,Cancelled,5.0,18360,7344,0.4,35,41,May 22,W 19,weekend,1,0
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,journey,Checked Out,3.0,15300,15300,1.0,35,41,May 22,W 19,weekend,2,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,3,makeyourtrip,Checked Out,5.0,16830,16830,1.0,35,41,May 22,W 19,weekend,4,6
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,3,journey,Checked Out,5.0,16830,16830,1.0,35,41,May 22,W 19,weekend,4,1
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,4,direct online,Checked Out,5.0,18360,18360,1.0,35,41,May 22,W 19,weekend,2,6
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,direct online,Cancelled,5.0,15300,6120,0.4,35,41,May 22,W 19,weekend,6,6
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,1,logtrip,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,1,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,makeyourtrip,Checked Out,1.0,15300,15300,1.0,35,41,May 22,W 19,weekend,5,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,1,makeyourtrip,Cancelled,5.0,15300,6120,0.4,35,41,May 22,W 19,weekend,1,1
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,makeyourtrip,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,1,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,4,logtrip,Checked Out,5.0,18360,18360,1.0,35,41,May 22,W 19,weekend,2,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,makeyourtrip,Checked Out,2.0,15300,15300,1.0,35,41,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,3,others,No Show,5.0,16830,16830,1.0,35,41,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,makeyourtrip,Cancelled,5.0,15300,6120,0.4,35,41,May 22,W 19,weekend,1,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,others,Checked Out,3.0,15300,15300,1.0,35,41,May 22,W 19,weekend,1,6
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,direct online,Cancelled,5.0,15300,6120,0.4,35,41,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,journey,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,1,makeyourtrip,Checked Out,1.0,15300,15300,1.0,35,41,May 22,W 19,weekend,2,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,makeyourtrip,Checked Out,1.0,15300,15300,1.0,35,41,May 22,W 19,weekend,4,1
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,4,others,Checked Out,5.0,18360,18360,1.0,35,41,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,tripster,No Show,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,2,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,4,logtrip,Checked Out,5.0,18360,18360,1.0,35,41,May 22,W 19,weekend,1,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,others,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,6,7
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,tripster,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,1,7
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,others,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,2,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,1,others,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,4,0
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,others,Checked Out,4.0,15300,15300,1.0,35,41,May 22,W 19,weekend,2,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,journey,No Show,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,6,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Elite,2,others,Checked Out,5.0,15300,15300,1.0,35,41,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,direct online,Cancelled,5.0,20400,8160,0.4,27,32,May 22,W 19,weekend,1,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,6,direct online,Checked Out,5.0,28560,28560,1.0,27,32,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,3,direct offline,Cancelled,5.0,22440,8976,0.4,27,32,May 22,W 19,weekend,6,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,6,logtrip,Checked Out,3.0,28560,28560,1.0,27,32,May 22,W 19,weekend,1,21
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,3,tripster,Checked Out,5.0,22440,22440,1.0,27,32,May 22,W 19,weekend,2,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,3,others,Checked Out,4.0,22440,22440,1.0,27,32,May 22,W 19,weekend,3,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,makeyourtrip,Checked Out,5.0,20400,20400,1.0,27,32,May 22,W 19,weekend,5,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,others,Checked Out,4.0,20400,20400,1.0,27,32,May 22,W 19,weekend,1,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,makeyourtrip,Checked Out,3.0,20400,20400,1.0,27,32,May 22,W 19,weekend,2,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,direct offline,Checked Out,5.0,20400,20400,1.0,27,32,May 22,W 19,weekend,2,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,logtrip,Checked Out,5.0,20400,20400,1.0,27,32,May 22,W 19,weekend,4,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,3,tripster,Checked Out,5.0,22440,22440,1.0,27,32,May 22,W 19,weekend,2,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,1,makeyourtrip,Checked Out,5.0,20400,20400,1.0,27,32,May 22,W 19,weekend,2,7
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,direct online,Checked Out,5.0,20400,20400,1.0,27,32,May 22,W 19,weekend,1,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,direct online,Checked Out,5.0,20400,20400,1.0,27,32,May 22,W 19,weekend,1,6
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,tripster,Checked Out,4.0,20400,20400,1.0,27,32,May 22,W 19,weekend,5,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,others,Cancelled,5.0,20400,8160,0.4,27,32,May 22,W 19,weekend,1,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,direct online,Checked Out,5.0,20400,20400,1.0,27,32,May 22,W 19,weekend,1,21
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,others,Checked Out,5.0,20400,20400,1.0,27,32,May 22,W 19,weekend,6,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,3,others,Cancelled,5.0,22440,8976,0.4,27,32,May 22,W 19,weekend,1,24
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,journey,Cancelled,5.0,20400,8160,0.4,27,32,May 22,W 19,weekend,2,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,3,direct offline,Checked Out,4.0,22440,22440,1.0,27,32,May 22,W 19,weekend,1,7
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,makeyourtrip,Checked Out,2.0,20400,20400,1.0,27,32,May 22,W 19,weekend,6,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,6,makeyourtrip,Cancelled,5.0,28560,11424,0.4,27,32,May 22,W 19,weekend,5,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,2,makeyourtrip,Cancelled,5.0,20400,8160,0.4,27,32,May 22,W 19,weekend,3,1
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,3,others,Cancelled,5.0,22440,8976,0.4,27,32,May 22,W 19,weekend,1,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Premium,3,others,Checked Out,4.0,22440,22440,1.0,27,32,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,4,others,Checked Out,5.0,38760,38760,1.0,17,18,May 22,W 19,weekend,6,4
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,direct offline,Cancelled,5.0,32300,12920,0.4,17,18,May 22,W 19,weekend,2,20
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,6,tripster,Checked Out,3.0,45220,45220,1.0,17,18,May 22,W 19,weekend,1,0
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,others,Checked Out,5.0,32300,32300,1.0,17,18,May 22,W 19,weekend,4,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,others,Checked Out,5.0,32300,32300,1.0,17,18,May 22,W 19,weekend,3,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,others,Cancelled,5.0,32300,12920,0.4,17,18,May 22,W 19,weekend,1,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,3,others,Checked Out,5.0,35530,35530,1.0,17,18,May 22,W 19,weekend,2,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,makeyourtrip,Checked Out,5.0,32300,32300,1.0,17,18,May 22,W 19,weekend,1,5
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,others,Checked Out,5.0,32300,32300,1.0,17,18,May 22,W 19,weekend,2,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,logtrip,No Show,5.0,32300,32300,1.0,17,18,May 22,W 19,weekend,5,1
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,makeyourtrip,Checked Out,5.0,32300,32300,1.0,17,18,May 22,W 19,weekend,6,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,makeyourtrip,Cancelled,5.0,32300,12920,0.4,17,18,May 22,W 19,weekend,6,2
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,5,logtrip,Checked Out,5.0,41990,41990,1.0,17,18,May 22,W 19,weekend,6,7
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,others,Checked Out,2.0,32300,32300,1.0,17,18,May 22,W 19,weekend,6,20
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,others,Checked Out,5.0,32300,32300,1.0,17,18,May 22,W 19,weekend,1,3
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,2,tripster,Cancelled,5.0,32300,12920,0.4,17,18,May 22,W 19,weekend,2,6
2022-05-01,16559,Atliq Exotica,Luxury,Mumbai,Presidential,4,others,Cancelled,5.0,38760,15504,0.4,17,18,May 22,W 19,weekend,1,1
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,direct offline,Checked Out,3.0,9100,9100,1.0,24,34,May 22,W 19,weekend,2,0
2022-05-01,16560,Atliq City,Business,Delhi,Standard,2,tripster,Checked Out,3.0,9100,9100,1.0,24,34,May 22,W 19,weekend,1,1
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,journey,Checked Out,3.0,9100,9100,1.0,24,34,May 22,W 19,weekend,1,4
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,logtrip,Checked Out,1.0,9100,9100,1.0,24,34,May 22,W 19,weekend,3,0
2022-05-01,16560,Atliq City,Business,Delhi,Standard,2,makeyourtrip,Checked Out,3.0,9100,9100,1.0,24,34,May 22,W 19,weekend,2,0
2022-05-01,16560,Atliq City,Business,Delhi,Standard,3,makeyourtrip,Checked Out,3.0,10010,10010,1.0,24,34,May 22,W 19,weekend,2,3
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,others,Cancelled,3.0,9100,3640,0.4,24,34,May 22,W 19,weekend,1,21
2022-05-01,16560,Atliq City,Business,Delhi,Standard,4,makeyourtrip,Checked Out,3.0,10920,10920,1.0,24,34,May 22,W 19,weekend,1,1
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,others,Cancelled,3.0,9100,3640,0.4,24,34,May 22,W 19,weekend,1,1
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,others,Checked Out,2.0,9100,9100,1.0,24,34,May 22,W 19,weekend,1,6
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,others,Checked Out,3.0,9100,9100,1.0,24,34,May 22,W 19,weekend,1,0
2022-05-01,16560,Atliq City,Business,Delhi,Standard,2,journey,Checked Out,3.0,9100,9100,1.0,24,34,May 22,W 19,weekend,4,1
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,direct online,Checked Out,3.0,9100,9100,1.0,24,34,May 22,W 19,weekend,1,2
2022-05-01,16560,Atliq City,Business,Delhi,Standard,4,others,Checked Out,4.0,10920,10920,1.0,24,34,May 22,W 19,weekend,1,2
2022-05-01,16560,Atliq City,Business,Delhi,Standard,3,others,Checked Out,3.0,10010,10010,1.0,24,34,May 22,W 19,weekend,1,7
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,makeyourtrip,Cancelled,3.0,9100,3640,0.4,24,34,May 22,W 19,weekend,1,4
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,others,Checked Out,5.0,9100,9100,1.0,24,34,May 22,W 19,weekend,2,21
2022-05-01,16560,Atliq City,Business,Delhi,Standard,1,direct offline,Checked Out,3.0,9100,9100,1.0,24,34,May 22,W 19,weekend,1,1
2022-05-01,16560,Atliq City,Business,Delhi,Standard,3,others,Checked Out,3.0,10010,10010,1.0,24,34,May 22,W 19,weekend,2,1
2022-05-01,16560,Atliq City,Business,Delhi,Standard,3,makeyourtrip,Cancelled,3.0,10010,4004,0.4,24,34,May 22,W 19,weekend,1,3
